year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Kharif,Adilabad,Talamadugu,Sunflower,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Castor,0,0
2018-2019,Kharif,Adilabad,Mavala,Castor,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Castor,0,0
2018-2019,Kharif,Adilabad,Jainath,Castor,0,0
2018-2019,Kharif,Adilabad,Bela,Castor,0,0
2018-2019,Kharif,Adilabad,Ichoda,Castor,0,0
2018-2019,Kharif,Adilabad,Srikonda,Castor,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Castor,0,0
2018-2019,Kharif,Adilabad,Utnoor,Castor,5,0
2018-2019,Kharif,Adilabad,Inderavelly,Castor,5,6
2018-2019,Kharif,Adilabad,Narnoor,Castor,33,12
2018-2019,Kharif,Adilabad,Gadiguda,Castor,20,8
2018-2019,Kharif,Adilabad,Boath,Castor,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Castor,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Castor,0,0
2018-2019,Kharif,Adilabad,Bheempur,Castor,0,0
2018-2019,Kharif,Adilabad,Tamsi,Castor,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Castor,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Soybean,1336,911
2018-2019,Kharif,Adilabad,Mavala,Soybean,32,32
2018-2019,Kharif,Adilabad,Adilabad U,Soybean,2,7
2018-2019,Kharif,Adilabad,Jainath,Soybean,5169,6250
2018-2019,Kharif,Adilabad,Bela,Soybean,2301,2532
2018-2019,Kharif,Adilabad,Ichoda,Soybean,2514,1749
2018-2019,Kharif,Adilabad,Srikonda,Soybean,278,670
2018-2019,Kharif,Adilabad,Gudihathnoor,Soybean,1317,1210
2018-2019,Kharif,Adilabad,Utnoor,Soybean,3180,1660
2018-2019,Kharif,Adilabad,Inderavelly,Soybean,3957,1511
2018-2019,Kharif,Adilabad,Narnoor,Soybean,3298,312
2018-2019,Kharif,Adilabad,Gadiguda,Soybean,351,90
2018-2019,Kharif,Adilabad,Boath,Soybean,4352,4108
2018-2019,Kharif,Adilabad,Bazarhatnoor,Soybean,3525,2227
2018-2019,Kharif,Adilabad,Neradigonda,Soybean,2245,1265
2018-2019,Kharif,Adilabad,Bheempur,Soybean,839,1096
2018-2019,Kharif,Adilabad,Tamsi,Soybean,1660,302
2018-2019,Kharif,Adilabad,Talamadugu,Soybean,503,519
2018-2019,Kharif,Adilabad,Adilabad R,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Mavala,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Jainath,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Bela,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Ichoda,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Srikonda,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Utnoor,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Narnoor,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Boath,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Bheempur,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Tamsi,Other Oil Seeds,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Other Oil Seeds,0,0
